review,sentiment,length
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1,87
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1,134
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,113
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0,99
the charger worked for about a week and then completely stopped charging my phone.,0,82
Poor product.,0,13
However I needed some better instructions.,0,42
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0,124
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1,109
"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0,103
DO NOT BUY DO NOT BUYIT SUCKS,0,29
This is a great product..... sure beats using your fingers!.,1,60
"Plus, I seriously do not believe it is worth its steep price point.",0,67
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1,116
Very Dissapointing Performance.,0,31
Don't make the same mistake that I did and please don't buy this phone.,0,71
This phone might well be the worst I've ever had in any brand.,0,62
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0,104
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1,85
Don't bother - go to the store.,0,31
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1,110
I did not have any problem with this item and would order it again if needed.,1,77
You get what you pay for I guess.,0,33
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1,137
im surprised this is a good quality car charger and there's not much reviews about it.,1,86
These are fabulous!,1,19
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,126
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1,126
Disappointing accessory from a good manufacturer.,0,49
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0,104
Very wind-resistant.,1,20
"Obviously they have a terrible customer service, so you get what you pay for.",0,77
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1,135
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0,142
Linksys should have some way to exchange a bad phone for a refurb unit or something!,0,84
Phone is sturdy as all nokia bar phones are.,1,44
Great phone.,1,12
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0,110
I'm pleased.,1,12
Battery is terrible.,0,20
I found the product to be easy to set up and use.,1,49
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0,80
Utter crap.. Sound quality is TERRIBLE.,0,39
"The charger arrived within the promised timeframe, but it did not work.",0,71
"No ear loop needed, it's tiny and the sound is great.",1,53
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0,112
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1,144
Talk about USELESS customer service.,0,36
"It felt too light and ""tinny."".",0,31
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0,89
I'm happy about this purchase- good quality and low price.,1,58
I love the look and feel of Samsung flipphones.,1,47
Its well-designed and very sharp -- the blue is a very nice color.,1,66
Does everything it should and more.,1,35
I could not recommend these more.,0,33
Nice Sound.,1,11
"Looks good in the picture, but this case was a huge disappointment!!",0,68
Much less than the jawbone I was going to replace it with.,1,58
Setup went very smoothly.,1,25
its extremely slow and takes forever to do anything with it.,0,60
"A must study for anyone interested in the ""worst sins"" of industrial design.",0,76
The first thing that happened was that the tracking was off.,0,60
"It is well made, easy to access the phone and has a handy, detachable belt clip.",1,80
Then I had to continue pairing it periodically since it somehow kept dropping.,0,78
Can't upload ringtones from a third party.,0,42
"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0,126
Truly awful.,0,12
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1,91
The volume for the ringer is REAL good (you have choices how loud).,1,67
And none of the tones is acceptable.,0,36
camera color balance is AWFUL.,0,30
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0,135
I love the ringtones because they are so upbeat!,1,48
Chinese Forgeries Abound!.,0,26
Easy to pair with my Samsung Cell.,1,34
The instructions didn't explain that a microphone jack could be used.,0,69
i would advise to not purchase this item it never worked very well.,0,67
Too bad you have to pay up to $$$ a month for the service!,0,58
Works well.,1,11
The nokia CA-42 USB cable did not work with my phone.,0,53
Clear crisp sound.,1,18
"I have to use the smallest earpieces provided, but it stays on pretty well.",1,75
"The biggest complaint I have is, the battery drains superfast.",0,62
The design might be ergonomic in theory but I could not stand having these in my ear.,0,85
Do NOT buy if you want to use the holster.,0,42
The phone can also take great pictures and even video clips.,1,60
It doesn't make you look cool.,0,30
"Because both ears are occupied, background is not distracting at all.",1,69
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,115
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0,107
You can't beat the price on these.,1,34
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1,114
lightweight and works well.,1,27
So just beware.,0,15
I love this cable - it allows me to connect any mini-USB device to my PC.,1,73
So anyone near you will hear part of your conversation.,0,55
This is cool because most cases are just open there allowing the screen to get all scratched up.,1,96
I bought this phone as a replacement for my StarTac and have regretted it since.,0,80
Appears to actually outperform the original battery from China that came with my V325i.,1,87
Can't store anything but phone numbers to SIM.,0,46
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",0,115
Poor quality.,0,13
"jabra ear gels ""R"" the best!.",1,29
Not worth it.,0,13
The phone crashed completely and now I have to get it replaced.,0,63
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1,136
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0,142
It was a great phone.,1,21
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0,99
"Good value, works fine - power via USB, car, or wall outlet.",1,60
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1,101
This is simply the BEST bluetooth headset for sound quality!,1,60
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0,84
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1,87
I have always used corded headsets and the freedom from the wireless is very helpful.,1,85
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,95
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1,111
It has everything I need and I couldn't ask for more.,1,53
After receiving and using the product for just 2 days it broke.,0,63
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1,114
None of the three sizes they sent with the headset would stay in my ears.,0,73
T-Mobile has the best customer service anywhere.,1,48
Arrived quickly and much less expensive than others being sold.,1,63
We have tried 2 units and they both failed within 2 months.. Pros,0,65
"Provides good protection and looks classy, too.",1,47
Krussel Always good.,1,20
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1,71
The design is very good.4.,1,26
I great reception all the time.,1,31
I would highly recommend this product.,1,38
"Couldn't use the unit with sunglasses, not good in Texas!",0,57
It dit not work most of the time with my Nokia 5320.,0,52
"Bought mainly for the charger, which broke soon after purchasing.",0,65
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,90
Fantastic buy and will get again for whatever my next phone is,1,62
"stay away from this store, be careful.",0,38
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1,60
Does not fit.,0,13
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1,126
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1,115
disappointing.,0,14
Blue Ant is easy to use.,1,24
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1,81
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0,108
Then a few days later the a puff of smoke came out of the phone while in use.,0,77
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1,93
The nano stated it.My son was dissapointed.,0,43
The sound quality is excellent as well.,1,39
Its the best headset I have used.,1,33
Would not reccommend.,0,21
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1,121
Just what I wanted.,1,19
This particular model would not work with my Motorola Q smartphone.,0,67
wont work right or atleast for me.,0,34
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0,82
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0,141
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0,99
Great product.,1,14
Crisp and Clear.,1,16
AFter the first charge kept going dead after 12 minutes.,0,56
"VERY cheap plastic, creaks like an old wooden floor.",0,52
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0,105
The reception has been generally good.,1,38
"Excellent sound, battery life and inconspicuous to boot!.",1,57
Great bluetooth!.,1,17
I highly recommend this case.,1,29
WORTHWHILE.,1,11
This is a great deal.,1,21
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,98
I am sorry I made this purchase.,0,32
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0,111
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0,118
It was horrible!.,0,17
I don't think it would hold it too securly on your belt.,0,56
This allows the possibility of double booking for the same date and time after the first.,0,89
They work about 2 weeks then break.,0,35
It is simple to use and I like it.,1,34
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1,147
I can't use this case because the smell is disgusting.,0,54
NOT WHAT I WANTED.,0,18
I own 2 of these cases and would order another.,1,47
Great Phone.,1,12
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1,84
"The internet access was fine, it the rare instance that it worked.",0,66
Perfect for the PS3.,1,20
"Five star Plus, plus.",1,21
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1,141
$50 Down the drain.,0,19
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,102
"Good , works fine.",1,18
For the price this was a great deal.,1,36
"Great price, too!",1,17
"If there is a wind, it is completely useless.",0,45
Yes it's shiny on front side - and I love it!,1,45
Does Not Work.,0,14
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0,99
The reception through this headset is excellent.,1,48
2 thumbs up to this seller,1,26
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1,115
Improper description.... I had to return it.,0,44
#1 It Works - #2 It is Comfortable.,1,35
Battery charge-life is quite long.,1,34
The Jabra EarGels fit my ears very well.,1,40
Battery has no life.,0,20
I checked everywhere and there is no feature for it which is really disappointing.,0,82
Product is exactly as described.,1,32
Gets a signal when other Verizon phones won't.,1,46
Doesn't do the job.,0,19
I would recommend it.,1,21
Plan on ordering from them again and again.,1,43
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,115
I have been very satisfied with this cell phone from day one.,1,61
They keep getting better and better (this is my third one and I've had numerous Palms too).,1,91
Awkward to use and unreliable.,0,30
The shipping time was also very quick!,1,38
Not as good as I had hoped.,0,27
Good case!.,1,11
Doesn't Work.,0,13
Really good product.,1,20
Unfortunately it did not work.,0,30
All three broke within two months of use.,0,41
dont buy it.,0,12
"My father has the V265, and the battery is dying.",0,49
"However, the ear pads come off easily and after only one week I lost one.",0,73
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0,127
"Horrible, horrible protector.",0,29
I don't like this Nokia either.,0,31
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0,108
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0,75
It would take too long to describe how bad my customer service experience has been with Amazon.,0,95
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0,67
Terrible.. My car will not accept this cassette.,0,48
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0,124
It's not what it says it is.,0,28
Stay Away From the Q!.,0,22
Used and dirty.,0,15
Very unreliable service from T-mobile !,0,39
Not good enough for the price.,0,30
I bought two of them and neither will charge.,0,45
It looks very nice.,1,19
"This is an excellent tool, especially when paired with your phone's auto-answer.",1,80
I have read other's reviews here but I haven't had any problem with it.,1,71
These products cover up the important light sensor above the ear outlet.,0,72
Comfortable in my hand.,1,23
Just does not work.,0,19
Poor Reliability.,0,17
(It works!),1,11
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,93
"Terrible product, and waste of money!",0,37
Last time buying from you.,0,26
It was a waste of my money.,0,27
So far it has worked like a charm.,1,34
"I have only had it for a few weeks, but so far, so good.",1,56
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,145
Would recommend this item.,1,26
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1,88
"Nice case, feels good in your hands.",1,36
The item received was Counterfeit.,0,34
"Just really good.. So far, probably the best BT headset I have ever had.",1,72
Works fine.,1,11
I received my headset in good time and was happy with it.,1,57
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,101
My sister has one also and she loves it.,1,40
Good Quality.,1,13
This is by far the worst purchase I've made on Amazon.,0,54
Excellent dual-purpose headset.,1,31
Excellent!.,1,11
Does not work for listening to music with the cingular 8125.,0,60
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1,86
"The bottowm line...another worthless, cheap gimmick from Sprint.",0,64
Having trouble with volume.,0,27
The only good thing was that it fits comfortably on small ears.,1,63
WARNING - DO NOT BUY!!.,0,23
"I am pairing this with my iphone, and I could not be happier with it so far.",1,76
"When it opens, the battery connection is broken and the device is turned off.",0,77
"I didn't want the clip going over the top of my ear, causing discomfort.",0,72
Best headset ever!!!.,1,21
Don't trust their website and don't expect any helpful support.,0,63
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,134
The speaker is of low quality so as making the ring tones sound very cheap.,0,75
"Fits comfortably, came with three sizes of earbud tips.",1,55
Excellent product for the price.,1,32
Bad Reception.,0,14
This product is very High quality Chinese CRAP!!!!!!,0,52
It was quite comfortable in the ear.,1,36
Great phone.,1,12
Don't buy this product - It fails!.,0,35
Everything about this product is wrong.First,0,44
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,136
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0,103
Terrible phone holder.,0,22
The cutouts and buttons are placed perfectly.,1,45
I love being able to use one headset for both by land-line and cell.,1,68
Problem is that the ear loops are made of weak material and break easily.,0,73
Not nearly as good looking as the AMAZON picture makes it look.,0,63
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1,135
How stupid is that?,0,19
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,103
Seller shipped quickly and much cheaper than the competitors.,1,61
"Good show, Samsung.",1,19
So I bought about 10 of these and saved alot of money.,1,54
It always cuts out and makes a beep beep beep sound then says signal failed.,0,76
Couldn't figure it out,0,22
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0,142
So I had to take the battery out of the phone put it all back together and then restart it.,0,91
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,123
Leopard Print is wonderfully wild!.,1,35
Works for me.,1,13
"Saggy, floppy piece of junk.",0,28
much better than the hard plastic cases.,1,40
It also had a new problem.,0,26
Happy so far!.,1,14
cool phone.,1,11
Works good.,1,11
Motorola finally got the voice quality of a bluetooth headset right.,1,68
It looses connection to the phone even when it is within a couple feet between the two.,0,87
"but it is great, i would really recommend it",1,44
Makes it easier to keep up with my bluetooth when I'm not wearing it.,0,69
As I said above....PRETTY USELESS!,0,34
Never got it!!!!!,0,17
This pair of headphones is the worst that I have ever had sound-wise.,0,69
[...] down the drain because of a weak snap!,0,44
Does not charge the Cingular (ATT) 8525 phone.,0,46
"You get extra minutes so that you can carry out the call and not get cut off.""",1,78
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0,148
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,91
The headset fulfills my requirements so I am happy with my purchase.,1,68
Logitech Bluetooth Headset is a 10!.,1,36
"I like the fact that it rests lightly against your ear, rather than inside.",1,75
A lot of websites have been rating this a very good phone and so do I.,1,70
I have tried these cables with my computer and my iPod and it works just fine.,1,78
"The mic there is a joke, and the volume is quite low.",0,53
I'm returning them.,0,19
I does not maintain a connection with the computer while it is on my lap.,0,73
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,99
I have had mine for about a year and this Christmas I bought some for the rest of the family.,1,93
"Otherwise, easy to install and use, clear sound.",1,48
nice leather.,1,13
I had to purchase a different case.,0,35
It is a joy to use.,1,19
Very much disappointed with this company.,0,41
Very satisifed with that.,1,25
It didn't charge for me.,0,24
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1,86
Buttons are too small.,0,22
Just reading on the specs alone makes you say WOW.,1,50
Love it.. Great armband.,1,24
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,102
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,75
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1,84
I was very impressed with the price of the cases.,1,49
Also makes it easier to hold on to.,1,35
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1,129
It's pretty easy.,1,17
I cannot make calls at certain places.,0,38
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,94
Beautiful styling though.,1,25
This company charge me a restocking fee and still not given me my refund back.,0,78
I'm trying to return it for a refund.,0,37
I plugged it in only to find out not a darn thing worked.,0,57
Excellent product.,1,18
Earbud piece breaks easily.,0,27
Lousy product.,0,14
This phone tries very hard to do everything but fails at it's very ability to be a phone.,0,89
It is the best charger I have seen on the market yet.,1,53
SWEETEST PHONE!!!,1,17
":-)Oh, the charger seems to work fine.",1,38
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,124
Not enough volume.,0,18
Echo Problem....Very unsatisfactory,0,35
you could only take 2 videos at a time and the quality was very poor.,0,69
don't waste your money.,0,23
I am going to have to be the first to negatively review this product.,0,69
Adapter does not provide enough charging current.,0,49
"There was so much hype over this phone that I assumed it was the best, my mistake.",0,82
You also cannot take pictures with it in the case because the lense is covered.,0,79
Phone falls out easily.,0,23
"It didn't work, people can not hear me when I talk.",0,51
The text messaging feature is really tricky to use.,0,51
I'm really disappointed all I have now is a charger that doesn't work.,0,70
Painful on the ear.,0,19
Lasted one day and then blew up.,0,32
disappointed.,0,13
Kind of flops around.,0,21
The screen does get smudged easily because it touches your ear and face.,0,72
What a piece of junk.. I lose more calls on this phone.,0,55
Item Does Not Match Picture.,0,28
The only thing that disappoint me is the infra red port (irda).,0,63
"You can not answer calls with the unit, never worked once!",0,58
